Nr.;Anrede;Titel;Vorname;Nachname;Geburtsdatum;Straße;Hausnummer;Postleitzahl;Stadt;Telefon;Mobil;EMail;Newsletter
1;Frau;;Selma;Jandt;;Bruchermühlenstraße;35a;49401;Damme;05491/19292113;0153/3674358;selma.jandt@validmail.none;
2;Herr;;Wolfhard;Stoye;;Pützgracht;137;30938;Burgwedel;05139/49246924;0178/4391624;wolfhard-stoye@domain.none;
3;Herr;;Otbert;Noth;;Heinrich-Schlusnus-Straße;106;55413;Niederheimbach;;0170/4141422;o.noth@xyz.none;
4;k.A.;;Hansjochen;Leucht;;Benolper Straße;182;55765;Dambach;06782/87881574;;;
5;Herr;;Heinzwerner;Rohwedder;;Ripenhorst;9;55606;Bärweiler;06751/34012837;;heinzwerner_rohwedder@ultramail.none;
6;Frau;;Martha;Thalmann;;Einsteinstraße;75 a;66892;Bruchmühlbach-Miesau;06372/77117833;;;ja
7;Herr;;Dethard;Elser;;Hemfeld;105;39418;Staßfurt;03925/25838772;;dethard-elser@ultramail.none;
8;Herr;;Corbinian;Röll;;Zur Alten Wiese;173;21709;Burweg;04144/73312201;0154/1256193;corbinianroell@net-mail.none;nein
9;Frau;;Hilde;Eisermann;;Mendener Straße;139;65594;Runkel;06482/6036898;0176/9604519;h.41@inter-mail.none;ja
10;Herr;;Ingowart;Wienand;;Sabergstraße;186;78585;Bubsheim;;0170/6864788;ingowart-wienand@hoster.none;
11;Herr;;Dieter;Knuth;;Brunnenweg;65;83362;Surberg;0861/65369038;0162/6180674;d.1998@anymail.none;
12;Herr;;Erhart;Kögler;;Kronenweg;131;73430;Aalen;07361/1845572;0170/3705207;erhartkoegler@goggle-mail.none;
13;Herr;;Bernfried;Letsch;;Driescheider Weg;67;25421;Pinneberg;;;bernfried_letsch@private.none;
14;Herr;;Detlev;Lober;18.11.1915;Dreyer Straße;142;64297;Darmstadt;;;detlev_lober@private.none;
15;Herr;;Runfried;Stewart;;Nachkamp;175;21755;Hechthausen;04774/8420158;0178/5535453;runfried.stewart@net-mail.none;
16;Frau;;Lotte;Willenborg;06.02.1979;Langendorfer Straße;54;24790;Rade;;0176/5925419;;ja
17;Frau;;Scholastika;Petrich;;Pastor-Sieverding-Straße;191;53557;Bad Hönningen;02635/94419968;;scholastika_60@inter-mail.none;nein
18;Frau;;Imke;Henkelmann;;Osterweg;185;19230;Strohkirchen;03883/90092045;0160/5427818;i.98@email.none;
